
이미지 이름                    PID 세션 이름              세션#  메모리 사용
RuntimeBroker.exe            23904 Console                    1     13,256 K
CrossEXService.exe           22888 Console                    1        648 K
msedgewebview2.exe           20908 Console                    1     25,880 K
msedgewebview2.exe           23504 Console                    1      1,128 K
msedgewebview2.exe           25584 Console                    1      4,656 K
msedgewebview2.exe           18608 Console                    1     14,104 K
msedgewebview2.exe           18704 Console                    1      2,832 K
msedgewebview2.exe           22604 Console                    1      4,148 K
OneDrive.exe                  3188 Console                    1     18,932 K
WebexHost.exe                22408 Console                    1      2,112 K
ms-teams.exe                 24016 Console                    1     23,732 K
RuntimeBroker.exe            22960 Console                    1      1,656 K
msedgewebview2.exe           22788 Console                    1     21,272 K
msedgewebview2.exe           18652 Console                    1      1,136 K
msedgewebview2.exe           23744 Console                    1      6,504 K
msedgewebview2.exe           14288 Console                    1      5,000 K
msedgewebview2.exe            2300 Console                    1      3,156 K
msedgewebview2.exe            4816 Console                    1     28,392 K
AirCommand.exe               25480 Console                    1      6,936 K
IGCCTray.exe                 20716 Console                    1      8,280 K
IGCC.exe                     18416 Console                    1      3,348 K
SamsungNotesSysTray.exe       9200 Console                    1     12,364 K
backgroundTaskHost.exe       12716 Console                    1     11,108 K
RuntimeBroker.exe            14376 Console                    1      1,652 K
EOS Utility.exe               6452 Console                    1      9,196 K
HncUpdateTray.exe            14036 Console                    1      4,328 K
Locker_gui.exe               21524 Console                    1      6,140 K
DAmoWebCrypto.exe            27124 Console                    1      1,728 K
DAmoWebCrypto.exe            27188 Console                    1      1,724 K
node.exe                     27584 Console                    1        564 K
node.exe                     27180 Console                    1        564 K
conhost.exe                  27556 Console                    1        240 K
conhost.exe                  27140 Console                    1        248 K
MaEPSBroker.exe               3936 Console                    1        240 K
WSActiveBridgeES.exe         17084 Console                    1        180 K
CNQMMAIN.EXE                 21336 Console                    1      6,756 K
svchost.exe                  26504 Services                   0      2,072 K
splwow64.exe                 11448 Console                    1         20 K
CNQMUPDT.EXE                  9616 Console                    1      8,808 K
svchost.exe                  31020 Console                    1      7,348 K
Locker_native.exe            29152 Console                    1  2,135,368 K
conhost.exe                  30460 Console                    1        496 K
AppActions.exe               25920 Console                    1      5,276 K
svchost.exe                  24140 Services                   0      1,368 K
SDXHelper.exe                31164 Console                    1      5,384 K
python.exe                   12292 Console                    1        920 K
conhost.exe                  28756 Console                    1        256 K
Video.UI.exe                 28536 Console                    1         72 K
RuntimeBroker.exe            29492 Console                    1      1,364 K
svchost.exe                  13888 Services                   0      2,884 K
taskhostw.exe                 6580 Console                    1      7,028 K
ApplicationFrameHost.exe     31096 Console                    1      2,912 K
svchost.exe                  28860 Console                    1      1,164 K
svchost.exe                  32660 Services                   0      1,680 K
svchost.exe                  26436 Services                   0      1,584 K
svchost.exe                  27624 Console                    1      8,096 K
backgroundTaskHost.exe       31140 Console                    1     18,820 K
RuntimeBroker.exe            20640 Console                    1      2,660 K
MsMpEng.exe                  27856 Services                   0    373,144 K
MpDefenderCoreService.exe    10536 Services                   0     12,304 K
NisSrv.exe                   33724 Services                   0      8,088 K
Paseo.exe                     1896 Console                    1     62,936 K
Paseo.exe                    32956 Console                    1    121,400 K
Paseo.exe                    31024 Console                    1     14,372 K
Paseo.exe                    15792 Console                    1    566,836 K
Paseo.exe                    31384 Console                    1      7,152 K
Paseo.exe                    30048 Console                    1    239,180 K
Paseo.exe                    31944 Console                    1         24 K
powershell.exe               29256 Console                    1      1,880 K
conhost.exe                  29832 Console                    1        724 K
devin.exe                    15868 Console                    1    191,828 K
powershell.exe               25548 Console                    1      1,912 K
conhost.exe                  15124 Console                    1        164 K
devin.exe                    25780 Console                    1     28,836 K
powershell.exe               17640 Console                    1      1,840 K
conhost.exe                  22132 Console                    1        588 K
devin.exe                    33288 Console                    1    199,672 K
powershell.exe               10740 Console                    1      1,912 K
conhost.exe                  29564 Console                    1        708 K
devin.exe                     6560 Console                    1    222,248 K
powershell.exe               24520 Console                    1      1,900 K
conhost.exe                   5828 Console                    1        584 K
devin.exe                    33596 Console                    1    434,456 K
powershell.exe               18176 Console                    1      1,912 K
conhost.exe                  24212 Console                    1        164 K
devin.exe                    14192 Console                    1     33,220 K
powershell.exe                6088 Console                    1      1,896 K
conhost.exe                  11164 Console                    1        584 K
devin.exe                    23208 Console                    1     53,088 K
powershell.exe               31888 Console                    1      1,920 K
conhost.exe                  21600 Console                    1        588 K
devin.exe                    23280 Console                    1     32,516 K
cmd.exe                      33056 Console                    1         20 K
conhost.exe                  32508 Console                    1        752 K
node.exe                     28700 Console                    1         24 K
cmd.exe                       2788 Console                    1         20 K
node.exe                     29992 Console                    1         20 K
cmd.exe                      33604 Console                    1         24 K
node.exe                     18228 Console                    1         24 K
node.exe                     10016 Console                    1      9,688 K
esbuild.exe                   6496 Console                    1      5,668 K
cmd.exe                      25152 Console                    1         20 K
conhost.exe                  29560 Console                    1        792 K
node.exe                     16164 Console                    1         24 K
cmd.exe                      28236 Console                    1         24 K
node.exe                     23484 Console                    1         20 K
node.exe                     21004 Console                    1    445,976 K
node.exe                     10260 Console                    1     74,696 K
node.exe                     31544 Console                    1         24 K
OneDrive.Sync.Service.exe    21508 Console                    1     14,192 K
Aside.exe                     1776 Console                    1    270,936 K
Aside.exe                    21064 Console                    1      2,248 K
Aside.exe                    34436 Console                    1        344 K
Aside.exe                    28272 Console                    1    135,544 K
Aside.exe                    15560 Console                    1     49,872 K
Aside.exe                    28352 Console                    1      8,284 K
Aside.exe                    30304 Console                    1     10,104 K
Aside.exe                    17948 Console                    1     41,416 K
aside-daemon.exe             15644 Console                    1    142,776 K
conhost.exe                  33652 Console                    1      1,764 K
Aside.exe                    17844 Console                    1     11,028 K
Aside.exe                    24528 Console                    1      6,400 K
Aside.exe                    15520 Console                    1    183,716 K
Aside.exe                    34256 Console                    1     67,448 K
Aside.exe                    30544 Console                    1     32,860 K
Aside.exe                    23816 Console                    1     15,284 K
Aside.exe                    23444 Console                    1     25,776 K
python.exe                   35784 Console                    1         24 K
python.exe                   17064 Console                    1     63,888 K
conhost.exe                  17944 Console                    1        152 K
OpenConsole.exe              16364 Console                    1      1,412 K
WindowsTerminal.exe           2176 Console                    1     62,316 K
python.exe                   28732 Console                    1         24 K
python.exe                   28608 Console                    1  1,180,388 K
Aside.exe                    23420 Console                    1    133,404 K
Aside.exe                    29520 Console                    1    273,512 K
cmd.exe                      24452 Console                    1      6,064 K
conhost.exe                  31604 Console                    1     11,016 K
node.exe                     28600 Console                    1     23,660 K
cmd.exe                      11052 Console                    1      6,020 K
node.exe                     21624 Console                    1     29,748 K
Aside.exe                     7668 Console                    1     20,756 K
powershell.exe               24224 Console                    1     26,136 K
conhost.exe                  28212 Console                    1      6,704 K
devin.exe                    22368 Console                    1     32,908 K
Aside.exe                    31512 Console                    1     21,556 K
Aside.exe                    13696 Console                    1     20,268 K
Aside.exe                    32888 Console                    1     53,884 K
codex.exe                    31620 Console                    1     42,176 K
conhost.exe                  29792 Console                    1      6,988 K
node.exe                     28768 Console                    1     14,468 K
cmd.exe                      28640 Console                    1      7,380 K
conhost.exe                  23236 Console                    1      7,624 K
cmd.exe                      30644 Console                    1      7,488 K
conhost.exe                   6380 Console                    1      7,620 K
powershell.exe                6912 Console                    1     74,476 K
powershell.exe               26796 Console                    1     79,996 K
WmiPrvSE.exe                 33464 Services                   0     21,932 K
svchost.exe                  12812 Services                   0     10,324 K
Aside.exe                     4088 Console                    1    116,244 K
Aside.exe                     5860 Console                    1     33,216 K
agy.EXE                      30900 Console                    1    208,856 K
node.exe                     35044 Console                    1    115,064 K
node.exe                     20852 Console                    1     51,712 K
cmd.exe                      31856 Console                    1      7,392 K
conhost.exe                  22684 Console                    1      7,556 K
chrome-headless-shell.exe    33300 Console                    1     42,344 K
SearchProtocolHost.exe       17664 Services                   0     22,848 K
SearchFilterHost.exe         29440 Services                   0     13,300 K
updater.exe                  10848 Services                   0     25,048 K
updater.exe                  26340 Services                   0     12,808 K
SearchFilterHost.exe         34636 Services                   0     14,472 K
jellypal.exe                  7000 Console                    1     33,588 K
msedgewebview2.exe           34684 Console                    1    122,020 K
msedgewebview2.exe            2540 Console                    1     12,464 K
msedgewebview2.exe           35036 Console                    1    124,308 K
msedgewebview2.exe           22992 Console                    1     37,652 K
msedgewebview2.exe            2072 Console                    1     19,044 K
msedgewebview2.exe           18996 Console                    1     77,640 K
svchost.exe                   3408 Services                   0     19,092 K
msedgewebview2.exe           24736 Console                    1     24,336 K
audiodg.exe                  25800 Services                   0     25,332 K
powershell.exe               31016 Console                    1     63,056 K
cmd.exe                       5932 Console                    1      7,596 K
Godot_v4.7.2-stable_win64    29088 Console                    1    109,064 K
conhost.exe                  29976 Console                    1      7,560 K
node.exe                     31088 Console                    1    116,696 K
node.exe                     10472 Console                    1     50,736 K
powershell.exe                8660 Console                    1     60,776 K
chrome.exe                   23900 Console                    1     30,928 K
cmd.exe                      35664 Console                    1      7,312 K
conhost.exe                  23708 Console                    1      7,508 K
chrome.exe                   10736 Console                    1     10,116 K
tasklist.exe                 35288 Console                    1     12,356 K
